EECR_ID,Release,Epic_ID,Epic_Title,Feature_ID,WP_ID,WP_Title,Priority,Biz_Value,Story_Points,Est_Hours,Sprint,Milestone,Target_Release,Product_Owner,Tech_Lead,Developer,AI_Agent,Reviewer,QA_Owner,EAS_Ref,BRS_Ref,SRS_Ref,HLD_Ref,LLD_Ref,DEF_Ref,Repository,Branch,Commit_Hash,PR_Number,Build_Number,Unit_Test,Integration_Test,Security_Scan,Perf_Test,UAT_Status,Arch_Review,Code_Review,Sec_Review,QA_Review,Doc_Review,Dev_Deploy,Test_Deploy,UAT_Deploy,PreProd_Deploy,Prod_Deploy,Status,Blockers,Risks,ECR_Ref,ADR_Ref,Change_Request,Approval_Date,Approved_By,Merge_Date,Release_Version,Prod_Date,Op_Acceptance,Lessons_Learned,DoD_Arch,DoD_Coding,DoD_Tests,DoD_Security,DoD_Docs,DoD_Review,DoD_CICD,DoD_Merge_Ready
EECR-R01-001-01,R1,EPIC-001,Repository & Engineering Foundation,F-001-01,WP-001-01,Repository Bootstrap,CRITICAL,5,5,8,S1,M1,R1,RE-OS PO,Platform Lead,emmanoff_lab,claude-sonnet-4-6,Enterprise Architect,QA Lead,EAS §2.1,BRS v1.0 Vol.1 Exec Summary,SRS v1.0 Vol.1 §Doc Control,HLD N/A (ECR-001),LLD v2.0 Ch.3 §3.1,DEF Roadmap §Governance,diep-lab,main,f69c194,N/A,N/A,N/A,N/A,PASS,N/A,N/A,APPROVED (98/100),APPROVED,PASS,APPROVED,APPROVED,DEPLOYED,DEPLOYED,N/A,N/A,DEPLOYED,APPROVED,None,RISK-001,None,"ADR-001,ADR-002,ADR-003,ADR-004",None,2026-07-01,Enterprise Architect,2026-07-01,bootstrap-v0.1,2026-07-01,ACCEPTED,CODEOWNERS team slugs are placeholder — replace before WP-001-04 enforces branch protection,PASS,PASS,N/A,PASS,PASS,PASS,N/A,PASS
EECR-R01-001-02,R1,EPIC-001,Repository & Engineering Foundation,F-001-02,WP-001-02,Repository Standards,HIGH,4,5,8,S1,M1,R1,RE-OS PO,Platform Lead,emmanoff_lab,claude-sonnet-4-6,Enterprise Architect,QA Lead,EAS §5.1,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Dev Standards,HLD §Arch Principles,LLD v2.0 Ch.2 (§2.1–§2.7),DEF §Coding Standards,diep-lab,feature/wp-001-02-repository-standards,a2b14e5,—,—,N/A,PASS,PASS,N/A,N/A,PENDING,PENDING,PASS,PENDING,PASS,IN PROGRESS,NOT STARTED,N/A,N/A,NOT STARTED,IN PROGRESS,None,None,None,ADR-001,EECR-CHG-006,,,,,,,,,,PASS,PASS,PASS,PASS,PASS,PENDING,N/A,PENDING
EECR-R01-002-04,R1,EPIC-002,Core Infrastructure Stack,F-002-04,WP-002-04,MQTT Broker (Mosquitto) Configuration,HIGH,4,5,8,S2,M2,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Tech Lead,QA Lead,EAS §3.4,BRS v1.0 Vol.2 §Messaging,SRS v1.0 §Messaging,HLD §Event Bus,LLD v2.0 §4.4,DEF §Messaging,diep-lab,feature/mosquitto-config,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-05,R1,EPIC-002,Core Infrastructure Stack,F-002-05,WP-002-05,Prometheus Metrics Foundation,HIGH,4,5,8,S3,M2,R1,RE-OS PO,SRE Lead,TBD,TBD,SRE / Architect,QA Lead,EAS §4.1,BRS v1.0 Vol.2 §Observability,SRS v1.0 §Monitoring,HLD §Observability,LLD v2.0 §4.5,DEF §Monitoring,diep-lab,feature/prometheus-foundation,,,,,PENDING,PENDING,PENDING,PENDING,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-06,R1,EPIC-002,Core Infrastructure Stack,F-002-06,WP-002-06,Grafana Dashboard Bootstrap,MEDIUM,4,5,8,S3,M2,R1,RE-OS PO,SRE Lead,TBD,TBD,SRE Lead,QA Lead,EAS §4.2,BRS v1.0 Vol.2 §Observability,SRS v1.0 §Dashboards,HLD §Observability,LLD v2.0 §4.6,DEF §Dashboards,diep-lab,feature/grafana-bootstrap,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-05 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-07,R1,EPIC-002,Core Infrastructure Stack,F-002-07,WP-002-07,Log Aggregation Stack (Loki/Promtail),MEDIUM,3,5,8,S3,M2,R1,RE-OS PO,SRE Lead,TBD,TBD,SRE Lead,QA Lead,EAS §4.3,BRS v1.0 Vol.2 §Observability,SRS v1.0 §Logging,HLD §Observability,LLD v2.0 §4.7,DEF §Logging,diep-lab,feature/loki-promtail,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-05 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-002-08,R1,EPIC-002,Core Infrastructure Stack,F-002-08,WP-002-08,Node Exporter & System Metrics,MEDIUM,3,3,5,S3,M2,R1,RE-OS PO,SRE Lead,TBD,TBD,SRE Lead,QA Lead,EAS §4.4,BRS v1.0 Vol.2 §Observability,SRS v1.0 §Metrics,HLD §Observability,LLD v2.0 §4.8,DEF §Monitoring,diep-lab,feature/node-exporter,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-002-05 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-01,R1,EPIC-003,FastAPI Service Framework,F-003-01,WP-003-01,FastAPI Service Template & Project Generator,CRITICAL,5,8,16,S3,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Architect,QA Lead,EAS §5.6,BRS v1.0 Vol.2 §Backend,SRS v1.0 §Service Framework,HLD §Backend Arch,LLD v2.0 Ch.5 §5.1,DEF §Service Template,diep-lab,feature/fastapi-template,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,"EPIC-001 complete,WP-002-02 APPROVED",RISK-002,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-02,R1,EPIC-003,FastAPI Service Framework,F-003-02,WP-003-02,SQLAlchemy ORM Configuration & Base Models,CRITICAL,5,8,16,S3,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,DBA / Architect,QA Lead,EAS §3.2,BRS v1.0 Vol.2 §Data,SRS v1.0 §ORM,HLD §Data Layer,LLD v2.0 §5.2,DEF §ORM,diep-lab,feature/sqlalchemy-orm,,,,,PENDING,PENDING,PENDING,PENDING,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-03,R1,EPIC-003,FastAPI Service Framework,F-003-03,WP-003-03,Alembic Migration Framework,HIGH,5,5,10,S3,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,DBA / Tech Lead,QA Lead,EAS §3.2,BRS v1.0 Vol.2 §Data,SRS v1.0 §Migrations,HLD §Data Layer,LLD v2.0 §5.3,DEF §Migrations,diep-lab,feature/alembic-framework,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-02 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-04,R1,EPIC-003,FastAPI Service Framework,F-003-04,WP-003-04,Pydantic v2 Schema Library,HIGH,4,5,10,S4,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Tech Lead,QA Lead,EAS §5.6,BRS v1.0 Vol.2 §Backend,SRS v1.0 §Schemas,HLD §Backend Arch,LLD v2.0 §5.4,DEF §Schemas,diep-lab,feature/pydantic-schema-lib,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-05,R1,EPIC-003,FastAPI Service Framework,F-003-05,WP-003-05,Dependency Injection & Service Layer Pattern,HIGH,4,5,10,S4,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Architect,QA Lead,EAS §5.6,BRS v1.0 Vol.2 §Backend,SRS v1.0 §Service Layer,HLD §Backend Arch,LLD v2.0 §5.5,DEF §DI Pattern,diep-lab,feature/service-layer-pattern,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-06,R1,EPIC-003,FastAPI Service Framework,F-003-06,WP-003-06,Exception Handling & Error Response Contracts,HIGH,4,3,6,S4,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Tech Lead,QA Lead,EAS §5.6,BRS v1.0 Vol.2 §Backend,SRS v1.0 §Error Handling,HLD §Backend Arch,LLD v2.0 §5.6,DEF §Error Contracts,diep-lab,feature/error-contracts,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-07,R1,EPIC-003,FastAPI Service Framework,F-003-07,WP-003-07,API Versioning Strategy & Router Structure,HIGH,4,3,6,S4,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,Architect,QA Lead,EAS §5.7,BRS v1.0 Vol.2 §API,SRS v1.0 §API Versioning,HLD §API Gateway,LLD v2.0 §5.7,DEF §API Standards,diep-lab,feature/api-versioning,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-003-08,R1,EPIC-003,FastAPI Service Framework,F-003-08,WP-003-08,Health Check & Readiness Probe Endpoints,MEDIUM,3,3,5,S4,M3,R1,RE-OS PO,Backend Tech Lead,TBD,TBD,SRE Lead,QA Lead,EAS §4.5,BRS v1.0 Vol.2 §Observability,SRS v1.0 §Health,HLD §Observability,LLD v2.0 §5.8,DEF §Health Checks,diep-lab,feature/health-endpoints,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-003-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-004-01,R1,EPIC-004,CI/CD Pipeline Foundation,F-004-01,WP-004-01,GitHub Actions Workflow Bootstrap,CRITICAL,5,5,10,S4,M4,R1,RE-OS PO,DevSecOps Lead,TBD,TBD,Platform Lead / Architect,QA Lead,EAS §6.2,BRS v1.0 Vol.1 §SDLC,SRS v1.0 §CI/CD,HLD §DevOps,LLD v2.0 Ch.6 §6.1,DEF §CI/CD Pipeline,diep-lab,feature/github-actions-bootstrap,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,EPIC-001 complete,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-004-02,R1,EPIC-004,CI/CD Pipeline Foundation,F-004-02,WP-004-02,Python Lint Type-Check & Test Pipeline,HIGH,5,5,10,S5,M4,R1,RE-OS PO,DevSecOps Lead,TBD,TBD,Backend Tech Lead,QA Lead,EAS §6.2,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Test Automation,HLD §DevOps,LLD v2.0 §6.2,DEF §Pipeline Python,diep-lab,feature/pipeline-python,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-004-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-004-03,R1,EPIC-004,CI/CD Pipeline Foundation,F-004-03,WP-004-03,Flutter Build & Test Pipeline,HIGH,4,5,10,S5,M4,R1,RE-OS PO,DevSecOps Lead,TBD,TBD,Mobile Tech Lead,QA Lead,EAS §6.2,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Test Automation,HLD §DevOps,LLD v2.0 §6.3,DEF §Pipeline Flutter,diep-lab,feature/pipeline-flutter,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-004-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-004-04,R1,EPIC-004,CI/CD Pipeline Foundation,F-004-04,WP-004-04,Next.js Build & Test Pipeline,HIGH,4,5,10,S5,M4,R1,RE-OS PO,DevSecOps Lead,TBD,TBD,Frontend Tech Lead,QA Lead,EAS §6.2,BRS v1.0 Vol.1 §Quality,SRS v1.0 §Test Automation,HLD §DevOps,LLD v2.0 §6.4,DEF §Pipeline Next.js,diep-lab,feature/pipeline-nextjs,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-004-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-004-05,R1,EPIC-004,CI/CD Pipeline Foundation,F-004-05,WP-004-05,Infrastructure Lint & Validate Pipeline,MEDIUM,3,3,6,S5,M4,R1,RE-OS PO,DevSecOps Lead,TBD,TBD,Infra Tech Lead,QA Lead,EAS §6.2,BRS v1.0 Vol.2 §Infra,SRS v1.0 §IaC Validation,HLD §DevOps,LLD v2.0 §6.5,DEF §Pipeline Infra,diep-lab,feature/pipeline-infra,,,,,PENDING,PENDING,PENDING,N/A,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-004-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
EECR-R01-004-06,R1,EPIC-004,CI/CD Pipeline Foundation,F-004-06,WP-004-06,Container Build & ECR Push Pipeline,HIGH,4,5,10,S5,M4,R1,RE-OS PO,DevSecOps Lead,TBD,TBD,Infra Tech Lead,QA Lead,EAS §6.3,BRS v1.0 Vol.2 §Infra,SRS v1.0 §Container,HLD §Container Strategy,LLD v2.0 §6.6,DEF §Container Build,diep-lab,feature/pipeline-container,,,,,PENDING,PENDING,PENDING,PENDING,N/A,PENDING,PENDING,PENDING,PENDING,PENDING,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,NOT STARTED,WP-004-01 must be APPROVED,None,None,None,None,,,,,,,,,,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
